en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
a great deal of;çok miktarda;prep.;She has put a great deal of effort into preparing her presentation, so I am sure it will be a great success.;Sunumunu hazırlamak için çok fazla çaba harcadı, bu yüzden büyük bir başarı olacağına eminim.;"a large amount of; plenty of";a small amount of;B2;"preposition; grammar";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a large amount of;çok miktarda;prep.;The new project will require a large amount of financial investment and human resources.;Yeni proje, büyük miktarda finansal yatırım ve insan kaynağı gerektirecek.;"a great deal of; plenty of";a small amount of;B2;"preposition; grammar";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a large number of;çok sayıda;prep.;A large number of students have signed up for the advanced grammar course this semester.;Bu dönem ileri düzey gramer kursuna çok sayıda öğrenci kaydoldu.;"many; numerous";few;B1;"preposition; grammar";Orta seviye kelime. Genel iletişimde kullanılır.
a large quantity of;çok miktarda;prep.;The factory had to dispose of a large quantity of contaminated materials to comply with safety regulations.;Fabrika, güvenlik düzenlemelerine uymak için büyük miktarda kontamine malzemeyi imha etmek zorunda kaldı.;"a great deal of; a large amount of";a small quantity of;B2;"preposition; grammar";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a number of;birkaç, birçok;prep.;A number of important issues, such as climate change and global poverty, were discussed at the summit.;İklim değişikliği ve küresel yoksulluk gibi bir dizi önemli konu zirvede tartışıldı.;"several; many";few;B1;"preposition; grammar";Orta seviye kelime. Genel iletişimde kullanılır.
a variety of;bir çok farklı;phr. v.;We stock a variety of cheeses.;Birçok farklı peynir çeşidi stokluyoruz.;"a range of; an assortment of";-;B1;"phrase; expression";Orta seviye kelime. Genel iletişimde kullanılır.
abandon;terk etmek, vazgeçmek;v.;Some of those who survived contact with Europeans abandoned their villages and fled into the forest, where their descendants lived up to this day.;Avrupalılarla temastan kurtulanlardan bazıları köylerini terk edip ormana kaçtı ve onların soyundan gelenler bu güne kadar orada yaşadı.;leave, desert, forsake;keep, stay, remain;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abate;hafiflemek, dinmek, azalmak, yatışmak, azaltmak;v.;"The storm showed no signs of abating; the wind continued to howl, and the rain pounded against the windows with the same intensity for hours.";"Fırtınanın dineceğine dair hiçbir işaret yoktu; Rüzgar uğuldamaya devam etti ve yağmur saatlerce aynı yoğunlukla pencerelere vurdu.";"subside; decrease; lessen";"intensify; increase; worsen";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abduct;birisini kaçırmak;v.;There was a truly terrifying and shocking news story about a man who allegedly attempted to abduct a young child from a local public park.;Yerel bir halk parkından küçük bir çocuğu kaçırmaya çalıştığı iddia edilen bir adam hakkında gerçekten korkunç ve şok edici bir haber vardı.;"kidnap; seize";"release; free";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abduction;insan kaçırma;n.;The abduction of the wealthy businessman's daughter shocked the entire community.;Zengin işadamının kızının kaçırılması tüm toplumu şok etti.;"kidnapping; seizure; capture";"release; freeing";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
