passage_title;idx;sentence_en;sentence_tr
001-Amy's Restaurant (Amy'nin Restoranı);1;Amy's Restaurant is a popular place for students to eat in Greenwich Village.;Amy'nin Restoranı, Greenwich Village'de öğrencilerin yemek yemesi için popüler bir yerdir.
001-Amy's Restaurant (Amy'nin Restoranı);2;The restaurant is clean, the service is fast, and the prices are very reasonable.;Restoran temizdir, servisi hızlıdır ve fiyatları çok uygundur.
001-Amy's Restaurant (Amy'nin Restoranı);3;They offer a special meal every day that includes meat, salad, and a drink for a low price.;Her gün düşük bir fiyata et, salata ve içecek içeren özel bir yemek sunarlar.
002-Cinemas (Sinemalar);1;"There are several cinemas showing different films such as ""Long Live Life"" and ""Separate Rooms"".";"""Yaşasın Yaşam"" ve ""Ayrı Odalar"" gibi farklı filmler gösteren birkaç sinema bulunmaktadır."
002-Cinemas (Sinemalar);2;"The film ""The Color Purple"" is showing at Cinema West with multiple screenings throughout the day.";"""Mor Renk"" filmi, gün boyu birden fazla gösterimle Cinema West'te gösterilmektedir."
002-Cinemas (Sinemalar);3;Some films have age restrictions, so viewers should check the minimum age before buying tickets.;Bazı filmlerin yaş sınırı vardır, bu yüzde izleyiciler bilet almadan önce minimum yaşı kontrol etmelidir.
003-Derek (Derek);1;Derek Matthews was not a successful student at school because he loved horses instead.;Derek Matthews okulda başarılı bir öğrenci değildi çünkü bunun yerine atları seviyordu.
003-Derek (Derek);2;He wanted to be a jockey and now he owns a famous riding school in Ascot.;Jokey olmak istiyordu ve şu anda Ascot'ta ünlü bir binicilik okulunun sahibidir.
003-Derek (Derek);3;Derek drives to his riding school three times a week to ride and enjoy his time.;Derek, at binmek ve vaktinin tadını çıkarmak için haftada üç kez binicilik okuluna sürer.
004-Jim (Jim);1;Jim Chapman is a famous cameraman who has become the assistant director of a large film company.;Jim Chapman, büyük bir film şirketinin yardımcı yönetmeni olan ünlü bir kameramandır.
004-Jim (Jim);2;His company has fifty-two offices around the world, but he works in the Paris office.;Şirketinin dünyada 52 ofisi var, ancak o Paris ofisinde çalışmaktadır.
004-Jim (Jim);3;Jim is the first American to work in the Paris branch and he has a sister named Mary.;Jim Paris şubesinde çalışan ilk Amerikalıdır ve Mary adında bir kız kardeşi vardır.
005-Joan (Joan);1;Joan was a very good student at school who was interested in working with computers.;Joan okulda bilgisayarlarla çalışmakla ilgilenen çok iyi bir öğrenciydi.
005-Joan (Joan);2;She started working as a computer programmer after she finished school two years ago.;İki yıl önce okulu bitirdikten sonra bilgisayar programcısı olarak çalışmaya başladı.
005-Joan (Joan);3;She enjoys her work in the office and uses computers to draw pictures and designs.;Ofisteki işinden keyif alıyor ve resim ya da tasarım çizmek için bilgisayarları kullanıyor.
006-Kate (Kate);1;Catherine, who prefers to be called Kate by her friends, works as a dental nurse in England.;Arkadaşları tarafından Kate olarak anılmayı tercih eden Catherine, İngiltere'de diş hemşiresi olarak çalışmaktadır.
006-Kate (Kate);2;She works for a nice Australian dentist but she does not enjoy her job very much.;Güzel bir Avustralyalı diş hekimi için çalışıyor ama işinden çok keyif almıyor.
006-Kate (Kate);3;Her sister Bianca is a teacher living near London, while her brother George is currently unemployed.;Kız kardeşi Bianca Londra yakınında yaşayan bir öğretmendir, erkek kardeşi George ise şu anda işsizdir.
007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);1;Halima and Ahmed are visiting Washington D.C. with their friend Tom and writing to their aunt.;Halima ve Ahmed arkadaşları Tom ile Washington D.C.'yi ziyaret ediyor ve halalarına mektup yazıyorlar.
007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);2;They have visited historical sites like the Lincoln Memorial and the White House already.;Lincoln Anıtı ve Beyaz Saray gibi tarihi yerleri zaten ziyaret ettiler.
007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);3;They were unable to enter the Air and Space Museum because they arrived after closing time.;Kapandıktan sonra vardıkları için Hava ve Uzay Müzesi'ne giremediler.
008-Letter from Pam (Pam'den Mektup);1;Pam Robinson is a stewardess who is currently in Tokyo and writing to her father.;Pam Robinson şu anda Tokyo'da olan ve babasına mektup yazan bir hostestir.
008-Letter from Pam (Pam'den Mektup);2;She visited Istanbul yesterday and had enough free time to see the city and eat lunch.;Dün İstanbul'u ziyaret etti ve şehri gezip öğle yemeği yiyecek kadar boş vakti vardı.
008-Letter from Pam (Pam'den Mektup);3;She likes her job very much but admits that she was extremely tired last month.;İşini çok seviyor ama geçen ay çok yorgun olduğunu itiraf ediyor.
009-New York University (New York Üniversitesi);1;New York University is situated in Greenwich Village and offers students easy access to amenities.;New York Üniversitesi Greenwich Village'de yer alır ve öğrencilere olanaklara kolay erişim sunar.
009-New York University (New York Üniversitesi);2;There is a post office on 9th Street and several banks nearby where students can manage their finances.;9. Sokakta bir postane ve öğrencilerin mali işlerini yönetebilecekleri yakınlarda birkaç banka bulunmaktadır.
009-New York University (New York Üniversitesi);3;The area is famous for its popular restaurants and coffee shops that students frequently enjoy.;Bölge, öğrencilerin sıklıkla keyif aldığı popüler restoranları ve kahve dükkanlarıyla ünlüdür.
010-Roland-Evi-Della (Roland-Evi-Della);1;Roland Kohl is an engineer from Germany who enjoys playing basketball and skiing in the Alps.;Roland Kohl, basketbol oynamaktan ve Alpler'de kaymaktan hoşlanan bir Alman mühendistir.
010-Roland-Evi-Della (Roland-Evi-Della);2;Evi Pappas studies English in Greece and plays the guitar in a pop music band.;Evi Pappas Yunanistan'da İngilizce okumaktadır ve bir pop müzik grubunda gitar çalmaktadır.
010-Roland-Evi-Della (Roland-Evi-Della);3;Delia Chan is from Hong Kong and she studies English in New York for her restaurant business.;Delia Chan Hong Kongludur ve restoran işi için New York'ta İngilizce okumaktadır.
011-The Garston Family (Garston Ailesi);1;Mr. and Mrs. Garston live in a small village with their two dogs named Bruce and Spot.;Bay ve Bayan Garston, Bruce ve Spot adlı iki köpeğiyle küçük bir köyde yaşamaktadır.
