pack_name;title;level;tags_raw;Category
YDS Set 001;001-Amy's Restaurant (Amy'nin Restoranı);A1;"food; dining; prices";Food & Agriculture
YDS Set 001;002-Cinemas (Sinemalar);A1;"entertainment; films; schedule";Everyday Life & Consumption
YDS Set 001;003-Derek (Derek);A1;"biography; animals; career";History
YDS Set 001;004-Jim (Jim);A1;"biography; family; career";History
YDS Set 001;005-Joan (Joan);A1;"biography; technology; career";Science & Technology
YDS Set 001;006-Kate (Kate);A1;"family; jobs; daily life";Personal Stories & Human Interest
YDS Set 001;007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);A1;"travel; letter; landmarks";Travel & Geography
YDS Set 001;008-Letter from Pam (Pam'den Mektup);A1;"travel; jobs; letter";Travel & Geography
YDS Set 001;009-New York University (New York Üniversitesi);A1;"education; city life; location";Education
YDS Set 001;010-Roland-Evi-Della (Roland-Evi-Della);A1;"biography; hobbies; sports";Sports
YDS Set 001;011-The Garston Family (Garston Ailesi);A1;"family; pets; routine";Personal Stories & Human Interest
YDS Set 001;012-The Old England Restaurant (Eski İngiltere Restoranı);A1;"food; dining; leisure";Food & Agriculture
YDS Set 001;013-The Statue of Liberty (Özgürlük Heykeli);A1;"landmarks; tourism; history";Travel & Geography
YDS Set 001;014-University of London (Londra Üniversitesi);A1;"education; history; landmarks";History
YDS Set 001;015-Young Love (Genç Aşk);A1;"music; lifestyle; hobbies";Art, Music & Literature
YDS Set 001;016-A Meeting (Bir Toplantı);A2;"business; introductions; dialogue";Work & Career Advice
YDS Set 001;017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);A2;"afghanistan; opium; drugs";Addiction & Substance Use
YDS Set 001;018-Airline Security (Havayolu Güvenliği);A2;"airline; security; racism";Defense & Security
YDS Set 001;019-Alfred Hitchcock (Alfred Hitchcock);A2;"biography; cinema; history";History
YDS Set 001;020-Cats (Kediler);A2;"animals; pets; history";Personal Stories & Human Interest
YDS Set 001;021-Charlie Chaplin (Charlie Chaplin);A2;"biography; cinema; history";History
YDS Set 001;022-Charlie Chaplin (Charlie Chaplin);A2;"cinema; biography";Art, Music & Literature
YDS Set 001;023-Dreams (Rüyalar);A2;"sleep; dreams; psychology";Psychology & Health
YDS Set 001;024-Elvis Presley (Elvis Presley);A2;"biography; music; fame";Art, Music & Literature
YDS Set 001;025-Emotions and Thoughts (Duygular ve Düşünceler);A2;"psychology; emotions";Psychology & Health
YDS Set 001;026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);A2;"sports; football; culture";Sports
YDS Set 001;027-Football: The World's Most Popular Sport (Futbol: Dünyanın En Popüler Sporu);A2;"sports; football; culture";Sports
YDS Set 001;028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);A2;"sports; motor racing; determination";Sports
YDS Set 001;029-Going to Britain (İngiltere'ye Gidiş);A2;"travel; money; transport";Travel & Geography
YDS Set 001;030-Grandmother's Glasses (Anneannenin Gözlüğü);A2;"story; childhood; family";Personal Stories & Human Interest
YDS Set 001;031-Home Sweet Home (Yuva Tatlı Yuva);A2;"housing; economy; lifestyle";Culture & Society
YDS Set 001;032-Job Advertisements (İş İlanları);A2;"employment; jobs; skills";Work & Career Advice
YDS Set 001;033-Job Centre Leaflet (İş Merkezi Broşürü);A2;"work; job hunting; advice";Work & Career Advice
YDS Set 001;034-Lebrat's Visit (Lebrat'ın Ziyareti);A2;"news; business; travel";Economics & Business
YDS Set 001;035-Longleat House (Longleat Evi);A2;"architecture; tourism; history";History
YDS Set 001;036-Mahatma Gandhi (Mahatma Gandhi);A2;"biography; history; politics";History
YDS Set 001;037-Mammals (Memeliler);A2;"biology; nature; animals";Biology & Animals
YDS Set 001;038-Men in Skirts (Etekli Erkekler);A2;"culture; history; clothing";Food & Agriculture
